il,bolge,yil,urun,ekilen_alan_dekar,hasat_alan_dekar,uretim_ton,verim_kg_dekar,ort_sicaklik_C,toplam_yagis_mm,yagisli_gun,bagil_nem_pct,rakım_kategori,kuraklik_indeksi,yagis_sapma_zscore,sicaklik_genlik,verim_degisim_pct,verim_sinifi,verim_sinifi_label,hasat_orani
Adana,Akdeniz,2012,Arpa,185066,178290,40696.7,228.3,18.9,693.0,84,67.1,low,34.82,1.09,20,0.0,1,Yüksek,0.963
Adana,Akdeniz,2013,Arpa,20989,19686,4644.0,235.9,19.4,560.3,78,59.9,low,27.47,-0.39,20,3.33,1,Yüksek,0.938
Adana,Akdeniz,2014,Arpa,95909,88226,21628.6,245.2,19.6,478.4,54,69.2,low,23.22,-1.31,20,3.94,1,Yüksek,0.92
Adana,Akdeniz,2015,Arpa,88384,82573,20640.9,250.0,17.2,558.8,57,59.2,low,30.7,-0.41,20,1.96,1,Yüksek,0.934
Adana,Akdeniz,2016,Arpa,13947,12009,3004.5,250.2,19.4,579.0,84,72.5,low,28.38,-0.19,20,0.08,1,Yüksek,0.861
Adana,Akdeniz,2017,Arpa,39069,35816,6945.8,193.9,18.8,741.1,116,67.5,low,37.43,1.63,20,-22.5,0,Düşük,0.917
Adana,Akdeniz,2018,Arpa,55013,46930,13250.2,282.3,19.4,403.1,51,68.0,low,19.76,-2.15,20,45.59,1,Yüksek,0.853
Adana,Akdeniz,2019,Arpa,46850,43679,9827.0,225.0,18.7,635.7,81,68.5,low,32.27,0.45,20,-20.3,1,Yüksek,0.932
Adana,Akdeniz,2020,Arpa,101452,97081,22163.5,228.3,19.1,661.8,82,65.3,low,32.93,0.74,20,1.47,1,Yüksek,0.957
Adana,Akdeniz,2021,Arpa,145167,128891,29226.0,226.7,18.9,609.7,63,64.6,low,30.64,0.16,20,-0.7,1,Yüksek,0.888
Adana,Akdeniz,2022,Arpa,14837,13555,3165.8,233.6,20.0,667.3,84,67.6,low,31.78,0.8,20,3.04,1,Yüksek,0.914
Adana,Akdeniz,2023,Arpa,191504,173916,45711.6,262.8,18.7,524.8,44,68.9,low,26.64,-0.79,20,12.5,1,Yüksek,0.908
Adana,Akdeniz,2024,Arpa,185718,169223,43773.4,258.7,19.0,629.2,73,67.5,low,31.46,0.38,20,-1.56,1,Yüksek,0.911
Adana,Akdeniz,2012,Ayçiçeği,93422,85505,15083.3,176.4,18.9,693.0,84,67.1,low,34.82,1.09,20,0.0,1,Yüksek,0.915
Adana,Akdeniz,2013,Ayçiçeği,110686,106325,19489.9,183.3,19.4,560.3,78,59.9,low,27.47,-0.39,20,3.91,1,Yüksek,0.961
Adana,Akdeniz,2014,Ayçiçeği,100790,94369,16949.5,179.6,19.6,478.4,54,69.2,low,23.22,-1.31,20,-2.02,1,Yüksek,0.936
Adana,Akdeniz,2015,Ayçiçeği,10867,9832,1927.0,196.0,17.2,558.8,57,59.2,low,30.7,-0.41,20,9.13,1,Yüksek,0.905
Adana,Akdeniz,2016,Ayçiçeği,163223,151498,26963.9,178.0,19.4,579.0,84,72.5,low,28.38,-0.19,20,-9.18,1,Yüksek,0.928
Adana,Akdeniz,2017,Ayçiçeği,33926,33305,5721.2,171.8,18.8,741.1,116,67.5,low,37.43,1.63,20,-3.48,1,Yüksek,0.982
Adana,Akdeniz,2018,Ayçiçeği,116361,109397,20205.4,184.7,19.4,403.1,51,68.0,low,19.76,-2.15,20,7.51,1,Yüksek,0.94
Adana,Akdeniz,2019,Ayçiçeği,188320,171814,28864.4,168.0,18.7,635.7,81,68.5,low,32.27,0.45,20,-9.04,1,Yüksek,0.912
Adana,Akdeniz,2020,Ayçiçeği,111438,101615,17595.1,173.2,19.1,661.8,82,65.3,low,32.93,0.74,20,3.1,1,Yüksek,0.912
Adana,Akdeniz,2021,Ayçiçeği,34831,32404,5183.1,160.0,18.9,609.7,63,64.6,low,30.64,0.16,20,-7.62,1,Yüksek,0.93
Adana,Akdeniz,2022,Ayçiçeği,194933,179844,30259.0,168.3,20.0,667.3,84,67.6,low,31.78,0.8,20,5.19,1,Yüksek,0.923
Adana,Akdeniz,2023,Ayçiçeği,37230,33694,6318.2,187.5,18.7,524.8,44,68.9,low,26.64,-0.79,20,11.41,1,Yüksek,0.905
Adana,Akdeniz,2024,Ayçiçeği,43196,40872,7695.4,188.3,19.0,629.2,73,67.5,low,31.46,0.38,20,0.43,1,Yüksek,0.946
Adana,Akdeniz,2012,Buğday,105211,93962,20826.7,221.6,18.9,693.0,84,67.1,low,34.82,1.09,20,0.0,1,Yüksek,0.893
Adana,Akdeniz,2013,Buğday,62724,59480,15112.2,254.1,19.4,560.3,78,59.9,low,27.47,-0.39,20,14.67,1,Yüksek,0.948
Adana,Akdeniz,2014,Buğday,163477,142661,36417.7,255.3,19.6,478.4,54,69.2,low,23.22,-1.31,20,0.47,1,Yüksek,0.873
Adana,Akdeniz,2015,Buğday,36728,31997,8216.2,256.8,17.2,558.8,57,59.2,low,30.7,-0.41,20,0.59,1,Yüksek,0.871
Adana,Akdeniz,2016,Buğday,98948,87628,22867.0,261.0,19.4,579.0,84,72.5,low,28.38,-0.19,20,1.64,1,Yüksek,0.886
Adana,Akdeniz,2017,Buğday,41483,36426,8688.8,238.5,18.8,741.1,116,67.5,low,37.43,1.63,20,-8.62,1,Yüksek,0.878
Adana,Akdeniz,2018,Buğday,192620,184920,48565.0,262.6,19.4,403.1,51,68.0,low,19.76,-2.15,20,10.1,1,Yüksek,0.96
Adana,Akdeniz,2019,Buğday,54056,52269,12281.9,235.0,18.7,635.7,81,68.5,low,32.27,0.45,20,-10.51,1,Yüksek,0.967
Adana,Akdeniz,2020,Buğday,131613,112968,27617.0,244.5,19.1,661.8,82,65.3,low,32.93,0.74,20,4.04,1,Yüksek,0.858
Adana,Akdeniz,2021,Buğday,102628,94177,23966.0,254.5,18.9,609.7,63,64.6,low,30.64,0.16,20,4.09,1,Yüksek,0.918
Adana,Akdeniz,2022,Buğday,40081,39377,10975.8,278.7,20.0,667.3,84,67.6,low,31.78,0.8,20,9.51,1,Yüksek,0.982
Adana,Akdeniz,2023,Buğday,100386,96093,27175.0,282.8,18.7,524.8,44,68.9,low,26.64,-0.79,20,1.47,1,Yüksek,0.957
Adana,Akdeniz,2024,Buğday,74806,73245,19168.1,261.7,19.0,629.2,73,67.5,low,31.46,0.38,20,-7.46,1,Yüksek,0.979
Adana,Akdeniz,2012,Mısır,70911,61015,66136.2,1083.9,18.9,693.0,84,67.1,low,34.82,1.09,20,0.0,1,Yüksek,0.86
Adana,Akdeniz,2013,Mısır,131299,128786,134695.7,1045.9,19.4,560.3,78,59.9,low,27.47,-0.39,20,-3.51,1,Yüksek,0.981
Adana,Akdeniz,2014,Mısır,19693,17806,18442.3,1035.7,19.6,478.4,54,69.2,low,23.22,-1.31,20,-0.98,1,Yüksek,0.904
Adana,Akdeniz,2015,Mısır,50875,45361,43269.4,953.9,17.2,558.8,57,59.2,low,30.7,-0.41,20,-7.9,1,Yüksek,0.892
Adana,Akdeniz,2016,Mısır,53785,47013,50501.8,1074.2,19.4,579.0,84,72.5,low,28.38,-0.19,20,12.61,1,Yüksek,0.874
Adana,Akdeniz,2017,Mısır,100761,89977,94988.6,1055.7,18.8,741.1,116,67.5,low,37.43,1.63,20,-1.72,1,Yüksek,0.893
Adana,Akdeniz,2018,Mısır,170565,153374,151353.5,986.8,19.4,403.1,51,68.0,low,19.76,-2.15,20,-6.53,1,Yüksek,0.899
Adana,Akdeniz,2019,Mısır,153929,148638,159977.9,1076.3,18.7,635.7,81,68.5,low,32.27,0.45,20,9.07,1,Yüksek,0.966
Adana,Akdeniz,2020,Mısır,82606,74538,72564.8,973.5,19.1,661.8,82,65.3,low,32.93,0.74,20,-9.55,1,Yüksek,0.902
Adana,Akdeniz,2021,Mısır,47674,40936,42386.0,1035.4,18.9,609.7,63,64.6,low,30.64,0.16,20,6.36,1,Yüksek,0.859
Adana,Akdeniz,2022,Mısır,102624,89054,94744.9,1063.9,20.0,667.3,84,67.6,low,31.78,0.8,20,2.75,1,Yüksek,0.868
Adana,Akdeniz,2023,Mısır,84823,83537,86051.8,1030.1,18.7,524.8,44,68.9,low,26.64,-0.79,20,-3.18,1,Yüksek,0.985
Adana,Akdeniz,2024,Mısır,26650,26355,28783.8,1092.2,19.0,629.2,73,67.5,low,31.46,0.38,20,6.03,1,Yüksek,0.989
Adıyaman,Güneydoğu Anadolu,2012,Arpa,166341,157682,32847.1,208.3,17.1,700.0,95,43.8,mid,38.67,0.1,26,0.0,0,Düşük,0.948
Adıyaman,Güneydoğu Anadolu,2013,Arpa,60713,57132,11090.3,194.1,16.6,721.1,105,44.5,mid,40.97,0.32,26,-6.82,0,Düşük,0.941
Adıyaman,Güneydoğu Anadolu,2014,Arpa,101666,87376,16897.9,193.4,16.4,783.8,87,49.4,mid,45.05,1.0,26,-0.36,0,Düşük,0.859
Adıyaman,Güneydoğu Anadolu,2015,Arpa,70316,62721,9871.0,157.4,18.4,807.1,99,39.2,mid,41.6,1.25,26,-18.61,0,Düşük,0.892
Adıyaman,Güneydoğu Anadolu,2016,Arpa,143383,135575,25816.6,190.4,16.0,670.8,94,46.6,mid,39.46,-0.22,26,20.97,0,Düşük,0.946
Adıyaman,Güneydoğu Anadolu,2017,Arpa,92469,86271,17426.8,202.0,15.7,569.5,49,46.7,mid,34.1,-1.31,26,6.09,0,Düşük,0.933
Adıyaman,Güneydoğu Anadolu,2018,Arpa,109913,97227,18679.3,192.1,14.7,728.8,76,51.2,mid,46.42,0.41,26,-4.9,0,Düşük,0.885
Adıyaman,Güneydoğu Anadolu,2019,Arpa,120052,104642,19740.2,188.6,16.9,510.1,69,48.6,mid,28.5,-1.95,26,-1.82,0,Düşük,0.872
Adıyaman,Güneydoğu Anadolu,2020,Arpa,65692,61258,11671.7,190.5,16.2,661.6,78,43.7,mid,38.47,-0.32,26,1.01,0,Düşük,0.933
Adıyaman,Güneydoğu Anadolu,2021,Arpa,171107,146867,27267.7,185.7,17.8,665.1,71,43.3,mid,35.38,-0.28,26,-2.52,0,Düşük,0.858
Adıyaman,Güneydoğu Anadolu,2022,Arpa,136625,132497,22267.7,168.1,16.0,757.8,78,49.6,mid,44.58,0.72,26,-9.48,0,Düşük,0.97
Adıyaman,Güneydoğu Anadolu,2023,Arpa,178553,172336,34463.1,200.0,17.0,829.5,96,43.9,mid,46.08,1.49,26,18.98,0,Düşük,0.965
Adıyaman,Güneydoğu Anadolu,2024,Arpa,182197,172050,36678.0,213.2,17.3,579.1,73,42.6,mid,31.64,-1.21,26,6.6,1,Yüksek,0.944
Adıyaman,Güneydoğu Anadolu,2012,Ayçiçeği,96246,90759,10896.7,120.1,17.1,700.0,95,43.8,mid,38.67,0.1,26,0.0,0,Düşük,0.943
Adıyaman,Güneydoğu Anadolu,2013,Ayçiçeği,103156,90131,12836.7,142.4,16.6,721.1,105,44.5,mid,40.97,0.32,26,18.57,1,Yüksek,0.874
